ANNIO,SEMANA,MES_CALEND,UBIGEO,DEPARTAM,PROVINCIA,DISTRITO,Probables,Confirmados,Total
2000,12,MARZO,21205,ANCASH,HUAYLAS,MATO,0,1,1
2000,14,MARZO,21205,ANCASH,HUAYLAS,MATO,1,0,1
2000,17,ABRIL,21205,ANCASH,HUAYLAS,MATO,1,0,1
2000,22,MAYO,21205,ANCASH,HUAYLAS,MATO,1,0,1
2000,23,JUNIO,21205,ANCASH,HUAYLAS,MATO,3,0,3
2000,31,JULIO,21205,ANCASH,HUAYLAS,MATO,1,0,1
2000,1,ENERO,21206,ANCASH,HUAYLAS,PAMPAROMAS,0,1,1
2000,31,JULIO,21206,ANCASH,HUAYLAS,PAMPAROMAS,1,0,1
2000,34,AGOSTO,21206,ANCASH,HUAYLAS,PAMPAROMAS,1,0,1
2000,40,OCTUBRE,21206,ANCASH,HUAYLAS,PAMPAROMAS,1,0,1
2000,4,ENERO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,8,FEBRERO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,9,FEBRERO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,10,MARZO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,3,0,3
2000,12,MARZO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,14,MARZO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,1,2
2000,15,ABRIL,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,2,2,4
2000,20,MAYO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,2,0,2
2000,21,MAYO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,3,0,3
2000,22,MAYO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,2,0,2
2000,23,JUNIO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,25,JUNIO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,3,0,3
2000,26,JUNIO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,2,0,2
2000,27,JULIO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,30,JULIO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,33,AGOSTO,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,38,SETIEMBRE,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,0,1,1
2000,41,OCTUBRE,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,1,0,1
2000,42,OCTUBRE,21207,ANCASH,HUAYLAS,PUEBLO LIBRE,0,1,1
2000,8,FEBRERO,21208,ANCASH,HUAYLAS,SANTA CRUZ,0,1,1
2000,11,MARZO,21208,ANCASH,HUAYLAS,SANTA CRUZ,1,0,1
2000,15,ABRIL,21208,ANCASH,HUAYLAS,SANTA CRUZ,1,0,1
